region,variety,process,moisture,elevation,target
oriente,Bourbon,Washed / Wet,0.1200,mid,poor
oriente,Bourbon,Washed / Wet,0.1100,mid,poor
oriente,Bourbon,Washed / Wet,0.1100,mid,poor
oriente,Bourbon,Washed / Wet,0.1100,mid,poor
oriente,Bourbon,Washed / Wet,0.1100,mid,poor
oriente,Bourbon,Washed / Wet,0.1100,mid,poor
oriente,Bourbon,Washed / Wet,0.1100,mid,good
oriente,Bourbon,Washed / Wet,0.1100,mid,poor
oriente,Caturra,Natural / Dry,0.1100,mid,great
oriente,Caturra,Washed / Wet,0.1100,mid,poor
oriente,Caturra,Washed / Wet,0.1200,mid,poor
oriente,Caturra,Washed / Wet,0.1200,mid,good
oriente,Other,Washed / Wet,0.1000,mid,poor
oriente,Other,Washed / Wet,0.1200,mid,poor
oriente,Other,Washed / Wet,0.1200,mid,poor
oriente,Other,Washed / Wet,0.1000,mid,poor
oriente,Other,Washed / Wet,0.1000,mid,poor
oriente,Other,Washed / Wet,0.1000,mid,poor
oriente,Other,Washed / Wet,0.1200,mid,fair
oriente,Other,Washed / Wet,0.1100,mid,poor
quetzaltenango,Caturra,Washed / Wet,0.1100,mid,good
"sacatepequez, guatemala",Caturra,Washed / Wet,0.1000,mid,fair
"sacatepequez, guatemala",Caturra,Washed / Wet,0.1100,mid,poor
"san lucas toliman, solola",Bourbon,Washed / Wet,0.1000,mid,fair
"san lucas toliman, solola",Bourbon,Washed / Wet,0.1200,mid,poor
san marcos,Bourbon,Washed / Wet,0.1100,high,fair
san marcos,Bourbon,Washed / Wet,0.1000,high,fair
san marcos,Bourbon,Washed / Wet,0.1000,high,good
san marcos,Bourbon,Washed / Wet,0.1300,high,great
san marcos,Bourbon,Washed / Wet,0.1100,high,good
san marcos,Bourbon,Washed / Wet,0.1100,high,good
san marcos,Bourbon,Washed / Wet,0.1000,high,fair
san marcos,Bourbon,Washed / Wet,0.1200,high,good
san marcos,Bourbon,Washed / Wet,0.1000,high,poor
san marcos,Bourbon,Washed / Wet,0.1000,high,good
san marcos,Catuai,Washed / Wet,0.1000,mid,poor
san marcos,Catuai,Washed / Wet,0.0900,mid,great
